row, col, cumulative power
0, 0, 1.109336e-29
0, 1, 3.750664e+02
1, 1, 3.854972e+02
0, 2, 6.172696e+02
1, 2, 6.686765e+02
2, 2, 6.801187e+02
0, 3, 7.090260e+02
1, 3, 7.153585e+02
2, 3, 7.198534e+02
0, 4, 7.438682e+02
1, 4, 7.590614e+02
3, 3, 7.612931e+02
2, 4, 7.693260e+02
3, 4, 7.708871e+02
0, 5, 7.771422e+02
1, 5, 7.788956e+02
2, 5, 7.822959e+02
4, 4, 7.828607e+02
3, 5, 7.835512e+02
0, 6, 7.961587e+02
1, 6, 8.033363e+02
2, 6, 8.039301e+02
4, 5, 8.045532e+02
3, 6, 8.062927e+02
0, 7, 8.097667e+02
5, 5, 8.100649e+02
1, 7, 8.110157e+02
4, 6, 8.114042e+02
2, 7, 8.118223e+02
3, 7, 8.133320e+02
5, 6, 8.151374e+02
0, 8, 8.157648e+02
4, 7, 8.162396e+02
1, 8, 8.165421e+02
2, 8, 8.169263e+02
6, 6, 8.175655e+02
3, 8, 8.209255e+02
5, 7, 8.217946e+02
4, 8, 8.220544e+02
0, 9, 8.256908e+02
1, 9, 8.257742e+02
6, 7, 8.267406e+02
2, 9, 8.283301e+02
5, 8, 8.291899e+02
3, 9, 8.301793e+02
4, 9, 8.302975e+02
7, 7, 8.303914e+02
6, 8, 8.307021e+02
0, 10, 8.309244e+02
1, 10, 8.312882e+02
2, 10, 8.315591e+02
5, 9, 8.319720e+02
3, 10, 8.320094e+02
7, 8, 8.321976e+02
4, 10, 8.322219e+02
6, 9, 8.329980e+02
5, 10, 8.330727e+02
8, 8, 8.340769e+02
7, 9, 8.349241e+02
6, 10, 8.349498e+02
8, 9, 8.356885e+02
7, 10, 8.360101e+02
9, 9, 8.361996e+02
8, 10, 8.365790e+02
9, 10, 8.375688e+02
10, 10, 8.376800e+02
