row, col, cumulative power
0, 0, 5.764116e-30
0, 1, 3.189504e+00
1, 1, 3.010612e+01
0, 2, 3.153745e+01
1, 2, 4.204484e+01
2, 2, 4.343913e+01
0, 3, 4.354063e+01
1, 3, 4.610991e+01
2, 3, 4.662976e+01
0, 4, 4.667692e+01
1, 4, 4.803587e+01
3, 3, 4.813003e+01
2, 4, 4.849259e+01
3, 4, 4.858485e+01
0, 5, 4.862412e+01
1, 5, 4.950874e+01
2, 5, 4.965798e+01
4, 4, 4.968418e+01
3, 5, 4.974293e+01
0, 6, 4.974550e+01
1, 6, 5.045623e+01
2, 6, 5.056695e+01
4, 5, 5.059059e+01
3, 6, 5.062517e+01
0, 7, 5.063198e+01
5, 5, 5.064187e+01
1, 7, 5.114074e+01
4, 6, 5.116725e+01
2, 7, 5.130662e+01
3, 7, 5.136043e+01
5, 6, 5.137206e+01
0, 8, 5.137214e+01
4, 7, 5.139212e+01
1, 8, 5.186049e+01
2, 8, 5.197996e+01
6, 6, 5.198453e+01
3, 8, 5.201724e+01
5, 7, 5.202473e+01
4, 8, 5.204582e+01
0, 9, 5.204774e+01
1, 9, 5.244366e+01
6, 7, 5.245374e+01
2, 9, 5.257633e+01
5, 8, 5.257992e+01
3, 9, 5.261056e+01
4, 9, 5.262734e+01
7, 7, 5.262998e+01
6, 8, 5.263640e+01
0, 10, 5.263951e+01
1, 10, 5.305824e+01
2, 10, 5.317661e+01
5, 9, 5.318672e+01
3, 10, 5.322287e+01
7, 8, 5.322820e+01
4, 10, 5.324067e+01
6, 9, 5.324835e+01
5, 10, 5.325433e+01
8, 8, 5.325659e+01
7, 9, 5.326804e+01
6, 10, 5.327832e+01
8, 9, 5.328923e+01
7, 10, 5.329625e+01
9, 9, 5.329846e+01
8, 10, 5.330283e+01
9, 10, 5.330648e+01
10, 10, 5.330843e+01
