# contact distance = 3
# r = [1.7052, 4.99384]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.210191 0.238201 0.0867832
0 1 0.292994 0.238201 0.0867832
0 2 0.312102 0.238201 0.0867832
0 3 0.318471 0.238201 0.0867832
0 4 0.229299 0.238201 0.0867832
0 5 0.22293 0.238201 0.0867832
0 6 0.210191 0.238201 0.0867832
0 7 0.197452 0.238201 0.0867832
0 8 0.178344 0.238201 0.0867832
0 9 0.178344 0.238201 0.0867832
0 10 0.133758 0.238201 0.0867832
0 11 0.152866 0.238201 0.0867832
0 12 0.140127 0.238201 0.0867832
0 13 0.178344 0.238201 0.0867832
0 14 0.191083 0.238201 0.0867832
0 15 0.171975 0.238201 0.0867832
0 16 0.248408 0.238201 0.0867832
0 17 0.286624 0.238201 0.0867832
0 18 0.33121 0.238201 0.0867832
0 19 0.363057 0.238201 0.0867832
1 0 0.312102 0.238201 0.0867832
1 1 0.324841 0.238201 0.0867832
1 2 0.363057 0.238201 0.0867832
1 3 0.350318 0.238201 0.0867832
1 4 0.343949 0.238201 0.0867832
1 5 0.286624 0.238201 0.0867832
1 6 0.267516 0.238201 0.0867832
1 7 0.229299 0.238201 0.0867832
1 8 0.210191 0.238201 0.0867832
1 9 0.22293 0.238201 0.0867832
1 10 0.178344 0.238201 0.0867832
1 11 0.184713 0.238201 0.0867832
1 12 0.146497 0.238201 0.0867832
1 13 0.216561 0.238201 0.0867832
1 14 0.216561 0.238201 0.0867832
1 15 0.254777 0.238201 0.0867832
1 16 0.273885 0.238201 0.0867832
1 17 0.363057 0.238201 0.0867832
1 18 0.401274 0.238201 0.0867832
1 19 0.433121 0.238201 0.0867832
2 0 0.305732 0.238201 0.0867832
2 1 0.33758 0.238201 0.0867832
2 2 0.350318 0.238201 0.0867832
2 3 0.382166 0.238201 0.0867832
2 4 0.363057 0.238201 0.0867832
2 5 0.312102 0.238201 0.0867832
2 6 0.280255 0.238201 0.0867832
2 7 0.273885 0.238201 0.0867832
2 8 0.235669 0.238201 0.0867832
2 9 0.229299 0.238201 0.0867832
2 10 0.171975 0.238201 0.0867832
2 11 0.165605 0.238201 0.0867832
2 12 0.171975 0.238201 0.0867832
2 13 0.210191 0.238201 0.0867832
2 14 0.203822 0.238201 0.0867832
2 15 0.229299 0.238201 0.0867832
