# contact distance = 3.5
# r = [1.09179, 3.74775]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.558442 0.509805 0.121735
0 1 0.532468 0.509805 0.121735
0 2 0.571429 0.509805 0.121735
0 3 0.61039 0.509805 0.121735
0 4 0.636364 0.509805 0.121735
0 5 0.675325 0.509805 0.121735
0 6 0.675325 0.509805 0.121735
0 7 0.649351 0.509805 0.121735
0 8 0.597403 0.509805 0.121735
0 9 0.584416 0.509805 0.121735
0 10 0.558442 0.509805 0.121735
0 11 0.545455 0.509805 0.121735
0 12 0.454545 0.509805 0.121735
0 13 0.415584 0.509805 0.121735
0 14 0.454545 0.509805 0.121735
0 15 0.532468 0.509805 0.121735
0 16 0.506494 0.509805 0.121735
0 17 0.493506 0.509805 0.121735
0 18 0.493506 0.509805 0.121735
0 19 0.519481 0.509805 0.121735
1 0 0.597403 0.509805 0.121735
1 1 0.571429 0.509805 0.121735
1 2 0.584416 0.509805 0.121735
1 3 0.636364 0.509805 0.121735
1 4 0.675325 0.509805 0.121735
1 5 0.74026 0.509805 0.121735
1 6 0.662338 0.509805 0.121735
1 7 0.688312 0.509805 0.121735
1 8 0.61039 0.509805 0.121735
1 9 0.597403 0.509805 0.121735
1 10 0.558442 0.509805 0.121735
1 11 0.519481 0.509805 0.121735
1 12 0.454545 0.509805 0.121735
1 13 0.428571 0.509805 0.121735
1 14 0.467532 0.509805 0.121735
1 15 0.519481 0.509805 0.121735
1 16 0.519481 0.509805 0.121735
1 17 0.545455 0.509805 0.121735
1 18 0.545455 0.509805 0.121735
1 19 0.519481 0.509805 0.121735
2 0 0.519481 0.509805 0.121735
2 1 0.545455 0.509805 0.121735
2 2 0.545455 0.509805 0.121735
2 3 0.558442 0.509805 0.121735
2 4 0.584416 0.509805 0.121735
2 5 0.636364 0.509805 0.121735
2 6 0.649351 0.509805 0.121735
2 7 0.584416 0.509805 0.121735
2 8 0.532468 0.509805 0.121735
2 9 0.597403 0.509805 0.121735
2 10 0.506494 0.509805 0.121735
2 11 0.519481 0.509805 0.121735
2 12 0.441558 0.509805 0.121735
2 13 0.454545 0.509805 0.121735
2 14 0.454545 0.509805 0.121735
2 15 0.519481 0.509805 0.121735
2 16 0.519481 0.509805 0.121735
2 17 0.480519 0.509805 0.121735
2 18 0.506494 0.509805 0.121735
2 19 0.532468 0.509805 0.121735
3 0 0.662338 0.509805 0.121735
3 1 0.61039 0.509805 0.121735
3 2 0.545455 0.509805 0.121735
3 3 0.584416 0.509805 0.121735
3 4 0.571429 0.509805 0.121735
3 5 0.688312 0.509805 0.121735
3 6 0.727273 0.509805 0.121735
3 7 0.662338 0.509805 0.121735
3 8 0.623377 0.509805 0.121735
3 9 0.558442 0.509805 0.121735
3 10 0.571429 0.509805 0.121735
3 11 0.558442 0.509805 0.121735
3 12 0.467532 0.509805 0.121735
3 13 0.415584 0.509805 0.121735
3 14 0.428571 0.509805 0.121735
3 15 0.519481 0.509805 0.121735
3 16 0.545455 0.509805 0.121735
3 17 0.519481 0.509805 0.121735
3 18 0.584416 0.509805 0.121735
3 19 0.545455 0.509805 0.121735
4 0 0.662338 0.509805 0.121735
4 1 0.597403 0.509805 0.121735
4 2 0.467532 0.509805 0.121735
4 3 0.571429 0.509805 0.121735
4 4 0.584416 0.509805 0.121735
4 5 0.688312 0.509805 0.121735
4 6 0.701299 0.509805 0.121735
4 7 0.649351 0.509805 0.121735
4 8 0.649351 0.509805 0.121735
4 9 0.545455 0.509805 0.121735
4 10 0.506494 0.509805 0.121735
4 11 0.571429 0.509805 0.121735
4 12 0.480519 0.509805 0.121735
4 13 0.428571 0.509805 0.121735
4 14 0.441558 0.509805 0.121735
4 15 0.545455 0.509805 0.121735
4 16 0.558442 0.509805 0.121735
4 17 0.571429 0.509805 0.121735
4 18 0.597403 0.509805 0.121735
4 19 0.584416 0.509805 0.121735
5 0 0.597403 0.509805 0.121735
5 1 0.61039 0.509805 0.121735
5 2 0.584416 0.509805 0.121735
5 3 0.636364 0.509805 0.121735
5 4 0.649351 0.509805 0.121735
5 5 0.701299 0.509805 0.121735
5 6 0.753247 0.509805 0.121735
5 7 0.688312 0.509805 0.121735
5 8 0.649351 0.509805 0.121735
5 9 0.662338 0.509805 0.121735
5 10 0.584416 0.509805 0.121735
5 11 0.597403 0.509805 0.121735
5 12 0.506494 0.509805 0.121735
5 13 0.506494 0.509805 0.121735
5 14 0.558442 0.509805 0.121735
5 15 0.584416 0.509805 0.121735
5 16 0.571429 0.509805 0.121735
5 17 0.61039 0.509805 0.121735
5 18 0.662338 0.509805 0.121735
5 19 0.636364 0.509805 0.121735
6 0 0.571429 0.509805 0.121735
6 1 0.61039 0.509805 0.121735
6 2 0.597403 0.509805 0.121735
6 3 0.662338 0.509805 0.121735
6 4 0.701299 0.509805 0.121735
6 5 0.688312 0.509805 0.121735
6 6 0.74026 0.509805 0.121735
