# contact distance = 3
# r = [0.29406, 3.8558]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.223529 0.333088 0.173223
0 1 0.152941 0.333088 0.173223
0 2 0.129412 0.333088 0.173223
0 3 0.0941176 0.333088 0.173223
0 4 0.152941 0.333088 0.173223
0 5 0.258824 0.333088 0.173223
0 6 0.247059 0.333088 0.173223
0 7 0.235294 0.333088 0.173223
0 8 0.247059 0.333088 0.173223
0 9 0.258824 0.333088 0.173223
0 10 0.247059 0.333088 0.173223
0 11 0.2 0.333088 0.173223
0 12 0.235294 0.333088 0.173223
0 13 0.223529 0.333088 0.173223
0 14 0.176471 0.333088 0.173223
0 15 0.164706 0.333088 0.173223
0 16 0.152941 0.333088 0.173223
0 17 0.141176 0.333088 0.173223
0 18 0.141176 0.333088 0.173223
0 19 0.117647 0.333088 0.173223
1 0 0.176471 0.333088 0.173223
1 1 0.176471 0.333088 0.173223
1 2 0.117647 0.333088 0.173223
1 3 0.141176 0.333088 0.173223
1 4 0.152941 0.333088 0.173223
1 5 0.211765 0.333088 0.173223
1 6 0.223529 0.333088 0.173223
1 7 0.2 0.333088 0.173223
1 8 0.247059 0.333088 0.173223
1 9 0.247059 0.333088 0.173223
1 10 0.223529 0.333088 0.173223
1 11 0.211765 0.333088 0.173223
1 12 0.2 0.333088 0.173223
1 13 0.176471 0.333088 0.173223
1 14 0.152941 0.333088 0.173223
1 15 0.2 0.333088 0.173223
1 16 0.188235 0.333088 0.173223
1 17 0.176471 0.333088 0.173223
1 18 0.164706 0.333088 0.173223
1 19 0.164706 0.333088 0.173223
2 0 0.188235 0.333088 0.173223
2 1 0.105882 0.333088 0.173223
2 2 0.129412 0.333088 0.173223
2 3 0.117647 0.333088 0.173223
2 4 0.141176 0.333088 0.173223
2 5 0.141176 0.333088 0.173223
2 6 0.188235 0.333088 0.173223
2 7 0.258824 0.333088 0.173223
2 8 0.235294 0.333088 0.173223
2 9 0.317647 0.333088 0.173223
2 10 0.270588 0.333088 0.173223
2 11 0.211765 0.333088 0.173223
2 12 0.247059 0.333088 0.173223
2 13 0.211765 0.333088 0.173223
2 14 0.2 0.333088 0.173223
2 15 0.2 0.333088 0.173223
2 16 0.176471 0.333088 0.173223
2 17 0.188235 0.333088 0.173223
2 18 0.129412 0.333088 0.173223
2 19 0.141176 0.333088 0.173223
3 0 0.188235 0.333088 0.173223
3 1 0.141176 0.333088 0.173223
3 2 0.141176 0.333088 0.173223
3 3 0.117647 0.333088 0.173223
3 4 0.141176 0.333088 0.173223
3 5 0.2 0.333088 0.173223
3 6 0.176471 0.333088 0.173223
3 7 0.258824 0.333088 0.173223
3 8 0.235294 0.333088 0.173223
3 9 0.294118 0.333088 0.173223
3 10 0.258824 0.333088 0.173223
3 11 0.294118 0.333088 0.173223
3 12 0.294118 0.333088 0.173223
3 13 0.223529 0.333088 0.173223
3 14 0.2 0.333088 0.173223
3 15 0.2 0.333088 0.173223
3 16 0.188235 0.333088 0.173223
3 17 0.176471 0.333088 0.173223
3 18 0.176471 0.333088 0.173223
3 19 0.164706 0.333088 0.173223
