SeqID,Phase-Sep
0001_400,0
0002_400,0
0003_400,0
0004_400,0
0005_400,0
0006_400,0
0007_400,0
0008_400,0
0009_400,0
0010_400,0
0011_400,0
0012_400,0
0013_400,0
0014_400,0
0015_400,0
0016_400,0
0017_400,0
0018_400,0
0019_400,0
0020_400,0
0021_400,1
0022_400,0
0023_400,0
0024_400,0
0025_400,0
0026_400,0
0027_400,0
0028_400,0
0029_400,0
0030_400,0
0031_400,0
0032_400,0
0033_400,1
0034_400,0
0035_400,0
0036_400,0
0037_400,0
0038_400,0
0039_400,0
0040_400,0
0041_400,1
0042_400,0
0043_400,0
0044_400,0
0045_400,0
0046_400,1
0047_400,0
0048_400,0
0049_400,0
0050_400,0
0051_400,1
0052_400,0
0053_400,1
0054_400,0
0055_400,0
0056_400,0
0057_400,0
0058_400,1
0059_400,0
0060_400,1
0061_400,1
0062_400,0
0063_400,1
0064_400,1
0065_400,1
0066_400,1
0067_400,1
0068_400,1
0069_400,1
0070_400,1
0071_400,1
0072_400,1
0073_400,1
0074_400,1
0075_400,1
0001_1000,0
0002_1000,0
0003_1000,0
0004_1000,0
0005_1000,0
0006_1000,0
0007_1000,0
0008_1000,0
0009_1000,0
0010_1000,0
0011_1000,1
0012_1000,0
0013_1000,0
0014_1000,0
0015_1000,0
0016_1000,0
0017_1000,0
0018_1000,0
0019_1000,0
0020_1000,1
0021_1000,0
0022_1000,0
0023_1000,0
0024_1000,0
0025_1000,0
0026_1000,0
0027_1000,0
0028_1000,0
0029_1000,0
0030_1000,0
0031_1000,0
0032_1000,1
0033_1000,1
0034_1000,0
0035_1000,0
0036_1000,0
0037_1000,0
0038_1000,0
0039_1000,0
0040_1000,1
0041_1000,0
0042_1000,0
0043_1000,0
0044_1000,0
0045_1000,1
0046_1000,0
0047_1000,0
0048_1000,1
0049_1000,1
0050_1000,1
0051_1000,1
0052_1000,1
0053_1000,0
0054_1000,1
0055_1000,1
0056_1000,1
0057_1000,1
0058_1000,1
0059_1000,1
0060_1000,1
0061_1000,1
0062_1000,1
0063_1000,1
0064_1000,1
0065_1000,1
0066_1000,1
0067_1000,1
0068_1000,1
0069_1000,1
0070_1000,1
0071_1000,1
0072_1000,1
