SeqID,Phase-Sep
0001,1
0002,1
0003,1
0004,0
0005,0
0006,0
0007,1
0008,1
0009,1
0010,1
0011,1
0012,1
0013,1
0014,1
0015,0
0016,0
0017,1
0018,0
0019,1
0020,1
0021,0
0022,0
0023,0
0024,0
0025,1
0026,1
0027,0
0028,1
0029,0
0030,1
0031,0
0032,1
0033,1
0034,0
0035,1
0036,0
0037,1
0038,0
0039,1
0040,1
0041,1
0042,0
0043,0
0044,1
0045,0
0046,0
0047,0
0048,1
0049,0
0050,0
0051,1
0052,0
0053,0
0054,0
0055,0
0056,1
0057,0
0058,0
0059,1
0060,0
0061,0
0062,0
0063,1
0064,1
0065,0
0066,0
0067,0
0068,0
0069,0
0070,1
0071,1
0072,0
0073,1
0074,1
0075,1
