SeqID,Sequence,H-Fraction,Epsilon,Phase-Sep
1,12121121121121121212,0.4,2.285,0
2,22111121122121212111,0.4,1.762,0
3,21121121121121121212,0.4,2.222,0
4,12121121121121121122,0.4,2.030,0
5,21212112121111212112,0.4,2.137,0
6,12111112222122111211,0.4,1.385,0
7,21112221211211121112,0.4,1.700,0
8,11222121211111212112,0.4,1.705,0
9,11211121121222221111,0.4,1.317,0
10,12221121112121111212,0.4,1.790,0
11,21212121212121212121,0.5,1.770,0
12,21121122121221212121,0.5,1.550,0
13,21221112112221112122,0.5,1.344,0
14,11122122212112112122,0.5,1.295,0
15,11221121121221211222,0.5,1.320,0
16,12111222112221222111,0.5,1.172,0
17,11222112112112112222,0.5,1.216,0
18,22221122111211221121,0.5,1.216,0
19,22221112222111112112,0.5,1.068,0
20,21221222212121111121,0.5,1.147,0
21,22211122211222111222,0.6,0.970,1
22,21211122221222121221,0.6,1.019,0
23,12121122121222211222,0.6,1.000,0
24,22221122122212112121,0.6,0.988,0
25,22221112212212222111,0.6,0.938,0
26,22221121222112222111,0.6,0.937,0
27,22221122211222211112,0.6,0.918,0
28,12212122222221111212,0.6,0.910,0
29,22211222221221121121,0.6,0.926,0
30,21111221222222211212,0.6,0.884,0
31,12111122222122121222,0.6,0.913,0
32,22222211222112112121,0.6,0.886,0
33,22221221221212212222,0.75,0.748,1
34,21212222222221212221,0.75,0.699,0
35,22122122222222212211,0.75,0.672,0
36,12122222222222212112,0.75,0.641,0
37,22222222221222121211,0.75,0.638,0
38,11212122122222222222,0.75,0.630,0
39,11211222212222222222,0.75,0.622,0
40,11212121222222222222,0.75,0.614,0
41,22222222111122222222,0.8,0.580,1
42,11221222222222222212,0.8,0.586,0
43,11222222222222222211,0.8,0.564,0
44,11122122222222222222,0.8,0.555,0
45,11112222222222222222,0.8,0.536,0
46,22222222222222222222,1.0,0.420,1
47,12221212121112111222,0.5,1.300,0
48,12111222221212122122,0.6,0.985,0
49,22122212221121121212,0.6,1.020,0
50,22122221211221211122,0.6,1.000,0
51,21221222111221212122,0.6,1.110,1
52,22221112122122121212,0.6,1.053,0
53,22121222121211122122,0.6,1.070,1
54,22222112111222111222,0.6,0.915,0
55,12222122121221122112,0.6,1.070,0
56,12122221221211122221,0.6,1.010,0
57,21221121211222112222,0.6,1.010,0
58,22122121121222112122,0.6,1.080,1
59,21222121212112212221,0.6,1.120,0
60,21221221122112212212,0.6,1.150,1
61,21221212122121212212,0.6,1.200,1
62,21221221212122122121,0.6,1.180,0
63,22212212221221221222,0.75,0.766,1
64,12221222122212221222,0.75,0.750,1
65,22212122211221222222,0.75,0.720,1
66,22122222212122122221,0.75,0.735,1
67,22222121221222122212,0.75,0.738,1
68,22212122222212221221,0.75,0.720,1
69,21222121222122212222,0.75,0.750,1
70,22121222212222222221,0.8,0.630,1
71,22122222212222212212,0.8,0.650,1
72,22222122212222121222,0.8,0.650,1
73,21221122222222221222,0.8,0.620,1
74,21122222122222221222,0.8,0.628,1
75,22212221222212221222,0.8,0.670,1
