seqid epsilon b2
0048 2.285 -401.658
0049 1.762 -410.068
0050 2.222 -387.341
0051 2.030 -405.622
0052 2.137 -389.413
0053 1.385 -397.650
0054 1.700 -398.421
0055 1.705 -400.665
0056 1.317 -396.309
0057 1.790 -396.047
0058 1.770 -408.862
0059 1.550 -393.325
0060 1.344 -397.624
0061 1.295 -400.123
0062 1.320 -408.034
0063 1.172 -406.962
0064 1.216 -393.542
0065 1.216 -412.685
0066 1.068 -398.778
0067 1.147 -399.075
0068 0.970 -398.017
0069 1.019 -395.112
0070 1.000 -396.542
0071 0.988 -391.077
0072 0.938 -393.655
0073 0.937 -393.998
0074 0.918 -399.702
0075 0.910 -389.970
0076 0.926 -401.477
0077 0.884 -392.214
0078 0.913 -406.034
0079 0.886 -398.280
0080 0.748 -402.073
0082 0.699 -399.966
0083 0.672 -408.708
0084 0.641 -408.207
0085 0.638 -386.767
0086 0.630 -400.583
0087 0.622 -407.257
0088 0.614 -389.742
0089 0.580 -406.730
0090 0.586 -404.090
0091 0.564 -405.122
0092 0.555 -392.250
0093 0.536 -394.638
0094 0.420 -391.0
0100 1.30 -384.901
0101 0.985 -389.262
0102 1.02 -389.172
0103 1.00 -395.938
0104 1.11 -416.599
0105 1.053 -413.955
0106 1.07 -404.792
0107 0.915 -403.717
0108 1.07 -398.652
0109 1.010 -398.840
0110 1.010 -415.553
0111 1.08 -390.431
0112 1.12 -417.948
0113 1.15 -388.136
0114 1.20 -388.039
0115 1.18 -387.270
0116 0.766 -400.061
0117 0.75 -385.990
0118 0.72 -413.329
0119 0.735 -406.588
0120 0.738 -403.602
0121 0.72 -399.935
0123 0.75 -403.909
0124 0.63 -383.334
0125 0.65 -398.389
0126 0.65 -413.967
0127 0.62 -419.651
0128 0.628 -396.036
0129 0.67 -413.922
